articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2617535951,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617462311,래미안공덕4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2617532341,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617540271,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617463992,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617418828,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617542529,래미안공덕4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2617519653,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617524840,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617415735,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617333206,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617373495,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617410549,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617404192,래미안공덕4차,매매,5/20,23억,141,112,남동향,"23억 5,000",597,20051117
2617323238,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617398923,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617416559,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2615234909,래미안공덕4차,매매,5/20,25억,141,112,남동향,25억,597,20051117
2617207857,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617250115,래미안공덕4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2617319429,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617318617,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617294405,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617231648,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617255172,래미안공덕4차,매매,5/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617250385,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
